packet_size,protocol,duration,network,label
74,TCP,1755622022.846851,good,reel
74,TCP,1755622022.8469,good,reel
86,TCP,1755622022.927865,good,reel
156,TCP,1755622023.011437,good,reel
190,TCP,1755622023.011437,good,reel
105,TCP,1755622023.011437,good,reel
74,TCP,1755622023.011484,good,reel
92,UDP,1755622023.036034,good,reel
87,UDP,1755622023.085104,good,reel
133,TCP,1755622023.101556,good,reel
190,TCP,1755622023.103203,good,reel
105,TCP,1755622023.103203,good,reel
74,TCP,1755622023.103233,good,reel
86,TCP,1755622023.150033,good,reel
74,TCP,1755622023.150033,good,reel
533,TCP,1755622023.150033,good,reel
136,TCP,1755622023.150033,good,reel
74,TCP,1755622023.150086,good,reel
105,TCP,1755622023.150317,good,reel
161,UDP,1755622023.153083,good,reel
231,UDP,1755622023.153083,good,reel
66,TCP,1755622023.153645,good,reel
74,TCP,1755622023.173718,good,reel
105,TCP,1755622023.185309,good,reel
589,TCP,1755622023.185309,good,reel
105,TCP,1755622023.185309,good,reel
74,TCP,1755622023.185354,good,reel
251,UDP,1755622023.187018,good,reel
181,UDP,1755622023.187018,good,reel
162,TCP,1755622023.190668,good,reel
86,TCP,1755622023.212927,good,reel
66,TCP,1755622023.248938,good,reel
74,TCP,1755622023.248938,good,reel
86,TCP,1755622023.284668,good,reel
88,UDP,1755622023.284668,good,reel
74,TCP,1755622023.284668,good,reel
267,TCP,1755622023.284668,good,reel
105,TCP,1755622023.284668,good,reel
74,TCP,1755622023.284743,good,reel
81,UDP,1755622023.290795,good,reel
81,UDP,1755622023.290925,good,reel
81,UDP,1755622023.291023,good,reel
66,TCP,1755622023.460781,good,reel
155,UDP,1755622023.460781,good,reel
94,TCP,1755622023.460781,good,reel
155,UDP,1755622023.460781,good,reel
155,UDP,1755622023.460781,good,reel
54,TCP,1755622023.460956,good,reel
1354,TCP,1755622023.461108,good,reel
81,UDP,1755622023.463075,good,reel
81,UDP,1755622023.463236,good,reel
531,TCP,1755622023.463852,good,reel
86,TCP,1755622023.464403,good,reel
1354,TCP,1755622023.464434,good,reel
1354,TCP,1755622023.464434,good,reel
1354,TCP,1755622023.464434,good,reel
1354,TCP,1755622023.464434,good,reel
1354,TCP,1755622023.464434,good,reel
81,UDP,1755622023.467798,good,reel
81,UDP,1755622023.469434,good,reel
81,UDP,1755622023.469946,good,reel
81,UDP,1755622023.470072,good,reel
81,UDP,1755622023.470149,good,reel
81,UDP,1755622023.473525,good,reel
81,UDP,1755622023.473525,good,reel
86,TCP,1755622023.478882,good,reel
1354,TCP,1755622023.47892,good,reel
73,UDP,1755622023.489669,good,reel
73,UDP,1755622023.489853,good,reel
73,UDP,1755622023.489958,good,reel
74,TCP,1755622023.567455,good,reel
1354,TCP,1755622023.567513,good,reel
1354,TCP,1755622023.567513,good,reel
1354,TCP,1755622023.567513,good,reel
232,TCP,1755622023.578717,good,reel
74,TCP,1755622023.57876,good,reel
75,TCP,1755622023.686184,good,reel
154,UDP,1755622023.746862,good,reel
249,UDP,1755622023.779452,good,reel
75,TCP,1755622023.828791,good,reel
1414,TCP,1755622023.943345,good,reel
1414,TCP,1755622023.943345,good,reel
1414,TCP,1755622023.943345,good,reel
66,TCP,1755622023.9434,good,reel
1414,TCP,1755622023.944239,good,reel
54,TCP,1755622023.944279,good,reel
1414,TCP,1755622023.944315,good,reel
1414,TCP,1755622023.944337,good,reel
54,TCP,1755622023.944343,good,reel
867,TCP,1755622023.944355,good,reel
74,TCP,1755622023.94437,good,reel
1354,TCP,1755622023.944398,good,reel
74,TCP,1755622023.948605,good,reel
205,UDP,1755622023.948605,good,reel
133,UDP,1755622023.948605,good,reel
1354,TCP,1755622023.948656,good,reel
1065,TCP,1755622023.948656,good,reel
66,TCP,1755622023.949605,good,reel
86,TCP,1755622023.949616,good,reel
134,TCP,1755622023.952295,good,reel
769,TCP,1755622023.952449,good,reel
1414,TCP,1755622023.952562,good,reel
1414,TCP,1755622023.952562,good,reel
1414,TCP,1755622023.952562,good,reel
1414,TCP,1755622023.952562,good,reel
1414,TCP,1755622023.952562,good,reel
1414,TCP,1755622023.952562,good,reel
1414,TCP,1755622023.952562,good,reel
1414,TCP,1755622023.952562,good,reel
1414,TCP,1755622023.952562,good,reel
74,TCP,1755622023.956485,good,reel
1354,TCP,1755622023.956527,good,reel
74,TCP,1755622023.977663,good,reel
1354,TCP,1755622023.977713,good,reel
74,TCP,1755622024.012478,good,reel
1354,TCP,1755622024.012524,good,reel
66,TCP,1755622024.03204,good,reel
54,TCP,1755622024.032126,good,reel
1414,TCP,1755622024.032504,good,reel
417,TCP,1755622024.032504,good,reel
74,TCP,1755622024.061443,good,reel
1354,TCP,1755622024.061491,good,reel
99,TCP,1755622024.119135,good,reel
103,TCP,1755622024.119808,good,reel
74,TCP,1755622024.120477,good,reel
