packet_size,protocol,duration,network,label
1292,UDP,1755622390.672834,good,non-reel
93,UDP,1755622390.673327,good,non-reel
1292,UDP,1755622390.675039,good,non-reel
1292,UDP,1755622390.675039,good,non-reel
1292,UDP,1755622390.675039,good,non-reel
1292,UDP,1755622390.675039,good,non-reel
93,UDP,1755622390.675668,good,non-reel
98,UDP,1755622390.675886,good,non-reel
1292,UDP,1755622390.679205,good,non-reel
1292,UDP,1755622390.679205,good,non-reel
1292,UDP,1755622390.679205,good,non-reel
93,UDP,1755622390.679538,good,non-reel
1292,UDP,1755622390.682307,good,non-reel
93,UDP,1755622390.682477,good,non-reel
1292,UDP,1755622390.686581,good,non-reel
1292,UDP,1755622390.686581,good,non-reel
1292,UDP,1755622390.686817,good,non-reel
93,UDP,1755622390.686823,good,non-reel
1292,UDP,1755622390.688814,good,non-reel
93,UDP,1755622390.68899,good,non-reel
1292,UDP,1755622390.691519,good,non-reel
1292,UDP,1755622390.691519,good,non-reel
1292,UDP,1755622390.691519,good,non-reel
93,UDP,1755622390.691872,good,non-reel
1292,UDP,1755622390.692671,good,non-reel
94,UDP,1755622390.692893,good,non-reel
1292,UDP,1755622390.695942,good,non-reel
1292,UDP,1755622390.695942,good,non-reel
1292,UDP,1755622390.695942,good,non-reel
1292,UDP,1755622390.695942,good,non-reel
1292,UDP,1755622390.695942,good,non-reel
1292,UDP,1755622390.695942,good,non-reel
1292,UDP,1755622390.696038,good,non-reel
94,UDP,1755622390.696208,good,non-reel
94,UDP,1755622390.696263,good,non-reel
94,UDP,1755622390.696289,good,non-reel
54,TCP,1755622390.698341,good,non-reel
157,TCP,1755622390.699759,good,non-reel
432,TCP,1755622390.710443,good,non-reel
54,TCP,1755622390.71072,good,non-reel
1292,UDP,1755622390.717236,good,non-reel
1292,UDP,1755622390.717236,good,non-reel
94,UDP,1755622390.717419,good,non-reel
1292,UDP,1755622390.717467,good,non-reel
1292,UDP,1755622390.717499,good,non-reel
94,UDP,1755622390.717549,good,non-reel
1292,UDP,1755622390.720948,good,non-reel
95,UDP,1755622390.721309,good,non-reel
1292,UDP,1755622390.724886,good,non-reel
1292,UDP,1755622390.724886,good,non-reel
95,UDP,1755622390.725102,good,non-reel
1292,UDP,1755622390.725361,good,non-reel
98,UDP,1755622390.726549,good,non-reel
1292,UDP,1755622390.729505,good,non-reel
1292,UDP,1755622390.729505,good,non-reel
1292,UDP,1755622390.729756,good,non-reel
1292,UDP,1755622390.729756,good,non-reel
95,UDP,1755622390.729797,good,non-reel
95,UDP,1755622390.72987,good,non-reel
1292,UDP,1755622390.729978,good,non-reel
94,UDP,1755622390.730066,good,non-reel
1292,UDP,1755622390.730099,good,non-reel
1292,UDP,1755622390.730194,good,non-reel
94,UDP,1755622390.730263,good,non-reel
1292,UDP,1755622390.730394,good,non-reel
1292,UDP,1755622390.730485,good,non-reel
94,UDP,1755622390.730573,good,non-reel
1292,UDP,1755622390.73064,good,non-reel
1292,UDP,1755622390.7308,good,non-reel
94,UDP,1755622390.730906,good,non-reel
1292,UDP,1755622390.730931,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
1292,UDP,1755622390.741692,good,non-reel
95,UDP,1755622390.741749,good,non-reel
99,UDP,1755622390.74207,good,non-reel
94,UDP,1755622390.742143,good,non-reel
94,UDP,1755622390.742187,good,non-reel
94,UDP,1755622390.742235,good,non-reel
94,UDP,1755622390.742293,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
